,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
11079,185676                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.375""             ",[SS.304],B,4,24104820                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 10MM                ,[SS.304],P,SS304,SS304
11131,185821                   ,SQ.HD.SET SCREW CUP POINT     ,"1/2-13UNC X 0.750""            ",[SS.304],B,2,185825                   ,SQ.HD.SET SCREW CUP POINT     ,M12-1.75 X 20MM               ,[SS.304],B,SS304,SS304
11133,185821                   ,SQ.HD.SET SCREW CUP POINT     ,"1/2-13UNC X 0.750""            ",[SS.304],B,4,185824                   ,SQ.HD.SET SCREW CUP POINT     ,M12-1.75 X 20MM               ,[SS.304],B,SS304,SS304
11137,211519                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 2.500""             ",[SS.304],P,2,185891                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 60MM                ,[SS.304],B,SS304,SS304
11155,211671                   ,HEX.SOC.CAP SCREW             ,"3/4-10UNC X 2.000""            ",[SS.304],P,2,219538                   ,HEX.SOC.CAP SCREW             ,M20-2.50 X 50MM               ,[SS.304],B,SS304,SS304
11179,212212                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 0.750""            ",ZINC PLATED,B,2,220410                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 20MM                ,ZINC PLATED,B,ZINC,ZINC
11181,212212                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 0.750""            ",ZINC PLATED,B,4,185665                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 20MM                ,ZINC PLATED,B,ZINC,ZINC
11239,185677                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.250""             ",[SS.304],B,2,24101251                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 30MM                ,[SS.304],P,SS304,SS304
11241,185677                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.250""             ",[SS.304],B,4,185694                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 30MM                ,[SS.304],B,SS304,SS304
11245,185678                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.750""             ",[SS.304],B,2,149512                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 45MM                ,[SS.304],B,SS304,SS304
11247,185678                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.750""             ",[SS.304],B,4,185696                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 45MM                ,[SS.304],B,SS304,SS304
11251,185679                   ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 4.000""            ",[SS.304],B,2,300545                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 100MM              ,[SS.304],P,SS304,SS304
11253,185679                   ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 4.000""            ",[SS.304],B,4,185688                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 100MM              ,[SS.304],B,SS304,SS304
11257,185680                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.750""            ",[SS.304],B,2,24105083                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 45MM                ,[SS.304],B,SS304,SS304
11259,185680                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.750""            ",[SS.304],B,4,185710                   ,HEX.SOC.CAP SCREW             ,M6-1.00 X 45MM                ,[SS.304],B,SS304,SS304
11263,185681                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.250""            ",[SS.304],B,2,24101855                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
11265,185681                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.250""            ",[SS.304],B,4,24104796                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
11293,185822                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 3.500""            ",[SS.304],B,2,123481                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 90MM               ,[SS.304],P,SS304,SS304
11295,185822                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 3.500""            ",[SS.304],B,4,185826                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 90MM               ,[SS.304],B,SS304,SS304
11323,185833                   ,WASHER;SPRING LOCK            ,#4                            ,[SS.304],B,2,24104543                 ,WASHER;SPRING LOCK            ,M3                            ,[SS.304],P,SS304,SS304
11325,185833                   ,WASHER;SPRING LOCK            ,#4                            ,[SS.304],B,4,185836                   ,WASHER;SPRING LOCK            ,M3                            ,[SS.304],B,SS304,SS304
11389,212595                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 2.250""            ",ZINC PLATED,B,2,185507                   ,CARRIAGE BOLT                 ,M10-1.50 X 60MM               ,ZINC PLATED,B,ZINC,ZINC
11391,212595                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 2.250""            ",ZINC PLATED,B,4,185506                   ,CARRIAGE BOLT                 ,M10-1.50 X 60MM               ,ZINC PLATED,B,ZINC,ZINC
11525,186006                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 3.000""            ",[SS.304],P,6,158737                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 75MM               ,[SS.304],P,SS304,SS304
11581,212972                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.250""            ",[SS.304],B,2,220557                   ,CARRIAGE BOLT                 ,M6-1.00 X 30MM                ,[SS.304],B,SS304,SS304
11725,186233                   ,HEX.JAM NUT                   ,5/8-18UNF                     ,[SS.304],P,2,181671                   ,HEX.JAM NUT                   ,M16-1.50                      ,[SS.304],P,SS304,SS304
11727,186233                   ,HEX.JAM NUT                   ,5/8-18UNF                     ,[SS.304],P,4,182679                   ,HEX.JAM NUT                   ,M16-1.50                      ,[SS.304],B,SS304,SS304
11791,214207                   ,HEX.NUT                       ,9/16-12UNC                    ,[SS.304],B,2,24103575                 ,HEX.NUT                       ,M14-2.00                      ,[SS.304],B,SS304,SS304
11929,192405                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 0.625"" X 3/8-16UNC   ",ZINC PLATED,B,2,221437                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 16MM X M10-1.50         ,ZINC PLATED,B,ZINC,ZINC
11931,192405                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 0.625"" X 3/8-16UNC   ",ZINC PLATED,B,4,223654                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 16MM X M10-1.50         ,ZINC PLATED,B,ZINC,ZINC
11977,214610                   ,HEX.NYLON INSERT LOCKNUT      ,3/8-24UNF                     ,[SS.304],B,2,300596                   ,HEX.NYLON INSERT LOCKNUT      ,M10-1.25                      ,[SS.304],P,SS304,SS304
11981,214610                   ,HEX.NYLON INSERT LOCKNUT      ,3/8-24UNF                     ,[SS.304],B,6,182685                   ,HEX.NYLON INSERT LOCKNUT      ,M10-1.25                      ,[SS.304],P,SS304,SS304
11989,215097                   ,HEX.NYLON INSERT LOCKNUT      ,3/8-16UNC                     ,[SS.316],P,2,24104102                 ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.316],B,SS316,SS316
11991,215097                   ,HEX.NYLON INSERT LOCKNUT      ,3/8-16UNC                     ,[SS.316],P,4,24104834                 ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.316],P,SS316,SS316
11993,215097                   ,HEX.NYLON INSERT LOCKNUT      ,3/8-16UNC                     ,[SS.316],P,6,182686                   ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.316],P,SS316,SS316
11995,215098                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.375""           ",[SS.316],P,2,24104726                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 10MM                ,[SS.316],P,SS316,SS316
11997,215098                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.375""           ",[SS.316],P,4,24104886                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 10MM                ,[SS.316],P,SS316,SS316
12103,185718                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 1.250""            ",[SS.304],B,2,185759                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 30MM                ,[SS.304],B,SS304,SS304
12105,185718                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 1.250""            ",[SS.304],B,4,185758                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 30MM                ,[SS.304],B,SS304,SS304
12109,185719                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 1.500""            ",[SS.304],B,2,185760                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 35MM                ,[SS.304],B,SS304,SS304
12111,185719                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 1.500""            ",[SS.304],B,4,136858                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 35MM                ,[SS.304],P,SS304,SS304
12115,185720                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 2.000""            ",[SS.304],B,2,24100000                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 50MM                ,[SS.304],P,SS304,SS304
12117,185720                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 2.000""            ",[SS.304],B,4,185761                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 50MM                ,[SS.304],B,SS304,SS304
12121,185721                   ,HEX.SOC.FH.CAP SCREW          ,"#6-32UNC X 0.500""             ",[SS.304],B,2,24101469                 ,HEX.SOC.FH.CAP SCREW          ,M4-0.70 X 12MM                ,[SS.304],P,SS304,SS304
12205,215806                   ,THREADED ROD                  ,1/2-13 UNC X 36.000''         ,[SS.316],P,2,24104403                 ,THREADED ROD                  ,M12-1.75                      ,[SS.316],P,SS316,SS316
12207,215806                   ,THREADED ROD                  ,1/2-13 UNC X 36.000''         ,[SS.316],P,4,24104828                 ,THREADED ROD                  ,M12-1.75                      ,[SS.316],P,SS316,SS316
12279,185721                   ,HEX.SOC.FH.CAP SCREW          ,"#6-32UNC X 0.500""             ",[SS.304],B,4,185755                   ,HEX.SOC.FH.CAP SCREW          ,M4-0.70 X 12MM                ,[SS.304],B,SS304,SS304
12283,185722                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.500""            ",[SS.304],B,2,24104732                 ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 35MM               ,[SS.304],P,SS304,SS304
12285,185722                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.500""            ",[SS.304],B,4,24104824                 ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 35MM               ,[SS.304],P,SS304,SS304
12289,185723                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.500""            ",[SS.304],B,2,185764                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 35MM                ,[SS.304],B,SS304,SS304
12291,185723                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.500""            ",[SS.304],B,4,185763                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 35MM                ,[SS.304],B,SS304,SS304
12301,185725                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.000""            ",[SS.304],B,2,24104946                 ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
12303,185725                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.000""            ",[SS.304],B,4,185737                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 25MM               ,[SS.304],B,SS304,SS304
12305,185725                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.000""            ",[SS.304],B,6,182708                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
12309,185726                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.750""            ",[SS.304],B,4,185740                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 45MM               ,[SS.304],B,SS304,SS304
12313,185727                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.750""            ",[SS.304],B,2,108468                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 70MM               ,[SS.304],P,SS304,SS304
12315,185727                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.750""            ",[SS.304],B,4,185744                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 70MM               ,[SS.304],B,SS304,SS304
12319,185728                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-24UNF X 1.000""            ",[SS.304],B,2,185735                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.25 X 25MM               ,[SS.304],B,SS304,SS304
12321,185728                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-24UNF X 1.000""            ",[SS.304],B,4,185734                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.25 X 25MM               ,[SS.304],B,SS304,SS304
12325,185729                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 0.500""           ",[SS.304],B,2,185774                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 12MM                ,[SS.304],B,SS304,SS304
12327,185729                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 0.500""           ",[SS.304],B,4,185773                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 12MM                ,[SS.304],B,SS304,SS304
12415,216054                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.500""            ",[SS.304],P,2,212391                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 90MM               ,[SS.304],B,SS304,SS304
12417,216054                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.500""            ",[SS.304],P,4,118419                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 90MM               ,[SS.304],P,SS304,SS304
12487,185730                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 0.750""           ",[SS.304],B,2,185776                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 20MM                ,[SS.304],B,SS304,SS304
12489,185730                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 0.750""           ",[SS.304],B,4,185775                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 20MM                ,[SS.304],B,SS304,SS304
12493,185731                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.750""           ",[SS.304],B,2,185778                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 45MM                ,[SS.304],B,SS304,SS304
12495,185731                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.750""           ",[SS.304],B,4,24104831                 ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 45MM                ,[SS.304],P,SS304,SS304
12499,185732                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.250""           ",[SS.304],B,2,300390                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 60MM                ,[SS.304],P,SS304,SS304
12501,185732                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.250""           ",[SS.304],B,4,185783                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 60MM                ,[SS.304],B,SS304,SS304
12505,185733                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 3.000""           ",[SS.304],B,2,185785                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 75MM                ,[SS.304],B,SS304,SS304
12507,185733                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 3.000""           ",[SS.304],B,4,185784                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 75MM                ,[SS.304],B,SS304,SS304
12595,216341                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.625""            ",[SS.304],B,2,24104725                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 16MM                ,[SS.304],P,SS304,SS304
12597,216341                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.625""            ",[SS.304],B,4,24104861                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 16MM                ,[SS.304],P,SS304,SS304
12607,216452                   ,HEX.NUT                       ,3/8-24UNF                     ,[SS.316],B,2,24101239                 ,HEX.NUT                       ,M10-1.25                      ,[SS.316],P,SS316,SS316
12609,216452                   ,HEX.NUT                       ,3/8-24UNF                     ,[SS.316],B,4,183754                   ,HEX.NUT                       ,M10-1.25                      ,[SS.316],P,SS316,SS316
12746,24105887                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.250""            ",[SS.304],P,2,24101465                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 30MM                ,[SS.304],B,SS304,SS304
12748,24105887                 ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 1.250""            ",[SS.304],P,4,120889                   ,HEX.SOC.CAP SCREW             ,M6-1.00 X 30MM                ,[SS.304],P,SS304,SS304
12812,24105998                 ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 1.250""            ",[SS.304],P,2,161555                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 30MM               ,[SS.304],P,SS304,SS304
